id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
1795,boardgameexpansion,Risk dition Napolon: Extension Empire Ottoman,2000,2,6,120,120,120,10,26,7.28846,0,82,4,23,33,16,2,2
1798,boardgame,Battle Dice,2000,2,5,30,30,30,8,7,4.42857,0,8,0,1,0,2,0,0
1801,boardgame,Clean Sweep,2001,2,5,20,20,20,6,2,5.5,0,1,0,0,0,0,0,0
1802,boardgame,Zwickern,1999,3,4,30,30,30,9,24,4.975,0,128,13,0,2,17,4,2
1807,boardgame,Shrimpin',2003,2,6,90,90,90,13,11,5.81818,0,56,9,1,2,13,3,1.6667
1808,boardgame,Witch Hunt,2000,3,5,60,60,60,13,23,5.46957,0,72,7,3,5,8,4,1.5
1809,boardgame,Rally,2001,2,6,30,30,30,0,0,0,0,3,0,0,0,0,0,0
1813,boardgame,Chalet,0,2,6,90,90,90,10,8,3.9375,0,38,4,1,3,4,2,2.5
1828,boardgame,Doomsday Cult 2000,1998,2,6,30,30,30,10,0,0,0,3,0,3,1,0,0,0
1834,boardgame,Chill Out!,1996,2,4,10,10,10,0,8,4.6,0,28,3,0,0,5,0,0
1838,boardgame,"The Who, What or Where Game",1969,3,5,30,30,30,10,12,7.41667,0,34,0,0,1,6,1,2
1839,boardgame,Odd Ball,0,2,4,30,30,30,0,10,3.7,0,22,2,0,0,6,0,0
1843,boardgame,Hurricane,1981,2,4,60,60,60,10,4,6.625,0,2,0,1,0,3,0,0
1845,boardgame,Zocker,1999,2,4,20,20,20,6,5,3,0,26,2,2,2,5,0,0
1846,boardgame,Zock,0,2,4,45,45,45,12,9,2.83333,0,20,1,0,0,2,0,0
1848,boardgame,Wrfel-Duell,1991,4,6,45,45,45,10,8,5.9,0,16,0,0,0,2,1,2
1849,boardgame,Wrtersee,1998,2,4,20,20,20,10,20,5.55,0,56,5,1,0,4,2,1.5
